,Rangking,Title,Artist,Date,Source Site,agency
249,50,우리 왜 헤어져야 해,신예영,5-19,Genie Music,셀러빗
250,51,Painkiller,Ruel,5-19,Genie Music,무소속
251,52,Paris In The Rain,Lauv,5-19,Genie Music,무소속
252,53,LALALILALA,에이프릴,5-19,Genie Music,DSP미디어
253,54,Love me or Leave me,데이식스,5-19,Genie Music,JYP엔터테인먼트
254,55,너를 만나,폴킴,5-19,Genie Music,뉴런뮤직
255,56,시든 꽃에 물을 주듯,박혜원,5-19,Genie Music,"비오디엔터테인먼트, 엔터테인먼트 뉴오더"
256,57,비,폴킴,5-19,Genie Music,뉴런뮤직
257,58,Lonely Night,권진아,5-19,Genie Music,안테나
258,59,이제 나만 믿어요,임영웅,5-19,Genie Music,"뉴에라프로젝트, 물고기컴퍼니"
259,60,조금 취했어 (Prod. by 2soo),임재현,5-19,Genie Music,정원수엔터테인먼트
260,61,은하수,길구봉구,5-19,Genie Music,뮤직웍스
261,62,Oh my god,(여자)아이들,5-19,Genie Music,무소속
262,63,FIESTA,아이즈원,5-19,Genie Music,오프더레코드엔터테인먼트
263,64,To Die For,Sam Smith,5-19,Genie Music,무소속
264,65,그대만이,장덕철,5-19,Genie Music,리메즈 엔터테인먼트
265,66,사랑이란 멜로는 없어,전상근,5-19,Genie Music,셀러빗
266,67,Square (2017),백예린,5-19,Genie Music,블루바이닐
267,68,노래방에서,장범준,5-19,Genie Music,버스커 버스커
268,69,찐이야,영탁,5-19,Genie Music,"뉴에라프로젝트, 밀라그로"
269,70,사랑에 연습이 있었다면 (Prod. by 2soo),임재현,5-19,Genie Music,정원수엔터테인먼트
270,71,사랑이 식었다고 말해도 돼,먼데이키즈,5-19,Genie Music,먼데이키즈 컴퍼니
271,72,넌 내가 보고 싶지 않나 봐,신예영,5-19,Genie Music,셀러빗
272,73,Comethru,Jeremy Zucker,5-19,Genie Music,무소속
273,74,시청 앞 지하철 역에서,곽진언,5-19,Genie Music,뮤직팜
274,75,Senorita,Camila Cabello & Shawn Mendes,5-19,Genie Music,소니뮤직
275,76,주저하는 연인들을 위해,잔나비,5-19,Genie Music,페포니 뮤직
276,77,All Falls Down (Feat. Noah Cyrus & Digital Farm Animals),Alan Walker,5-19,Genie Music,소니뮤직
277,78,포장마차,황인욱,5-19,Genie Music,하우엔터테인먼트
278,79,Birthday,Anne-Marie,5-19,Genie Music,무소속
279,80,기억해줘요 내 모든 날과 그때를,거미,5-19,Genie Music,씨제스엔터테인먼트
280,81,사계 (Four Seasons),태연,5-19,Genie Music,SM엔터테인먼트
281,82,다시 만날까 봐,V.O.S,5-19,Genie Music,무소속
282,83,On My Way,Alan Walker & Sabrina Carpenter & Farruko,5-19,Genie Music,소니뮤직
